schema_version,dataset_type,exchange,symbol,instrument_type,event_time,ingested_at,run_id,source_endpoint,open_time,close_time,timeframe,open,high,low,close,volume,quote_volume,trade_count,extra
v1,ohlcv,binance,ETHUSDT,spot,2019-09-09 15:10:00+00:00,2026-04-28 16:50:19.668784+00:00,sample_20260428T165019668743Z,public_market_data,2019-09-09 15:10:00+00:00,2019-09-09 15:10:59.999000+00:00,1m,181.74,181.74,181.6,181.65,60.06362,10911.6945423,63,"{'exchange': 'binance', 'symbol': 'ETHUSDT', 'interval': '1m', 'open_time': datetime.datetime(2019, 9, 9, 15, 10, tzinfo=datetime.timezone.utc), 'close_time': datetime.datetime(2019, 9, 9, 15, 10, 59, 999000, tzinfo=datetime.timezone.utc), 'open_price': 181.74, 'high_price': 181.74, 'low_price': 181.6, 'close_price': 181.65, 'volume': 60.06362, 'quote_volume': 10911.6945423, 'trade_count': 63}"
v1,ohlcv,binance,ETHUSDT,spot,2020-09-29 16:24:00+00:00,2026-04-28 16:50:19.668784+00:00,sample_20260428T165019668743Z,public_market_data,2020-09-29 16:24:00+00:00,2020-09-29 16:24:59.999000+00:00,1m,354.72,354.72,353.91,354.11,1385.6707,490708.8377765,366,"{'exchange': 'binance', 'symbol': 'ETHUSDT', 'interval': '1m', 'open_time': datetime.datetime(2020, 9, 29, 16, 24, tzinfo=datetime.timezone.utc), 'close_time': datetime.datetime(2020, 9, 29, 16, 24, 59, 999000, tzinfo=datetime.timezone.utc), 'open_price': 354.72, 'high_price': 354.72, 'low_price': 353.91, 'close_price': 354.11, 'volume': 1385.6707, 'quote_volume': 490708.8377765, 'trade_count': 366}"
v1,ohlcv,binance,ETHUSDT,spot,2020-11-08 05:50:00+00:00,2026-04-28 16:50:19.668784+00:00,sample_20260428T165019668743Z,public_market_data,2020-11-08 05:50:00+00:00,2020-11-08 05:50:59.999000+00:00,1m,439.12,439.12,438.52,438.63,301.50292,132276.1608197,169,"{'exchange': 'binance', 'symbol': 'ETHUSDT', 'interval': '1m', 'open_time': datetime.datetime(2020, 11, 8, 5, 50, tzinfo=datetime.timezone.utc), 'close_time': datetime.datetime(2020, 11, 8, 5, 50, 59, 999000, tzinfo=datetime.timezone.utc), 'open_price': 439.12, 'high_price': 439.12, 'low_price': 438.52, 'close_price': 438.63, 'volume': 301.50292, 'quote_volume': 132276.1608197, 'trade_count': 169}"
v1,ohlcv,binance,ETHUSDT,spot,2017-12-01 11:49:00+00:00,2026-04-28 16:50:19.668784+00:00,sample_20260428T165019668743Z,public_market_data,2017-12-01 11:49:00+00:00,2017-12-01 11:49:59.999000+00:00,1m,432.46,432.46,431.81,431.83,36.87393,15930.9939802,9,"{'exchange': 'binance', 'symbol': 'ETHUSDT', 'interval': '1m', 'open_time': datetime.datetime(2017, 12, 1, 11, 49, tzinfo=datetime.timezone.utc), 'close_time': datetime.datetime(2017, 12, 1, 11, 49, 59, 999000, tzinfo=datetime.timezone.utc), 'open_price': 432.46, 'high_price': 432.46, 'low_price': 431.81, 'close_price': 431.83, 'volume': 36.87393, 'quote_volume': 15930.9939802, 'trade_count': 9}"
v1,ohlcv,binance,ETHUSDT,spot,2025-07-03 17:53:00+00:00,2026-04-28 16:50:19.668784+00:00,sample_20260428T165019668743Z,public_market_data,2025-07-03 17:53:00+00:00,2025-07-03 17:53:59.999000+00:00,1m,2577.22,2577.23,2575.69,2577.16,204.2009,526166.216386,1151,"{'exchange': 'binance', 'symbol': 'ETHUSDT', 'interval': '1m', 'open_time': datetime.datetime(2025, 7, 3, 17, 53, tzinfo=datetime.timezone.utc), 'close_time': datetime.datetime(2025, 7, 3, 17, 53, 59, 999000, tzinfo=datetime.timezone.utc), 'open_price': 2577.22, 'high_price': 2577.23, 'low_price': 2575.69, 'close_price': 2577.16, 'volume': 204.2009, 'quote_volume': 526166.216386, 'trade_count': 1151}"
v1,ohlcv,binance,ETHUSDT,spot,2023-09-06 22:04:00+00:00,2026-04-28 16:50:19.668784+00:00,sample_20260428T165019668743Z,public_market_data,2023-09-06 22:04:00+00:00,2023-09-06 22:04:59.999000+00:00,1m,1633.6,1634.35,1633.6,1634.03,102.5036,167493.411411,249,"{'exchange': 'binance', 'symbol': 'ETHUSDT', 'interval': '1m', 'open_time': datetime.datetime(2023, 9, 6, 22, 4, tzinfo=datetime.timezone.utc), 'close_time': datetime.datetime(2023, 9, 6, 22, 4, 59, 999000, tzinfo=datetime.timezone.utc), 'open_price': 1633.6, 'high_price': 1634.35, 'low_price': 1633.6, 'close_price': 1634.03, 'volume': 102.5036, 'quote_volume': 167493.411411, 'trade_count': 249}"
v1,ohlcv,binance,ETHUSDT,spot,2024-10-14 11:28:00+00:00,2026-04-28 16:50:19.668784+00:00,sample_20260428T165019668743Z,public_market_data,2024-10-14 11:28:00+00:00,2024-10-14 11:28:59.999000+00:00,1m,2539.82,2541.44,2539.82,2541.18,130.1402,330705.820791,1369,"{'exchange': 'binance', 'symbol': 'ETHUSDT', 'interval': '1m', 'open_time': datetime.datetime(2024, 10, 14, 11, 28, tzinfo=datetime.timezone.utc), 'close_time': datetime.datetime(2024, 10, 14, 11, 28, 59, 999000, tzinfo=datetime.timezone.utc), 'open_price': 2539.82, 'high_price': 2541.44, 'low_price': 2539.82, 'close_price': 2541.18, 'volume': 130.1402, 'quote_volume': 330705.820791, 'trade_count': 1369}"
v1,ohlcv,binance,ETHUSDT,spot,2022-06-10 10:38:00+00:00,2026-04-28 16:50:19.668784+00:00,sample_20260428T165019668743Z,public_market_data,2022-06-10 10:38:00+00:00,2022-06-10 10:38:59.999000+00:00,1m,1769.3,1769.31,1768.39,1769.23,249.5106,441347.598602,323,"{'exchange': 'binance', 'symbol': 'ETHUSDT', 'interval': '1m', 'open_time': datetime.datetime(2022, 6, 10, 10, 38, tzinfo=datetime.timezone.utc), 'close_time': datetime.datetime(2022, 6, 10, 10, 38, 59, 999000, tzinfo=datetime.timezone.utc), 'open_price': 1769.3, 'high_price': 1769.31, 'low_price': 1768.39, 'close_price': 1769.23, 'volume': 249.5106, 'quote_volume': 441347.598602, 'trade_count': 323}"
v1,ohlcv,binance,ETHUSDT,spot,2017-10-24 21:08:00+00:00,2026-04-28 16:50:19.668784+00:00,sample_20260428T165019668743Z,public_market_data,2017-10-24 21:08:00+00:00,2017-10-24 21:08:59.999000+00:00,1m,302.99,303.01,302.99,302.99,7.46901,2263.1622377,6,"{'exchange': 'binance', 'symbol': 'ETHUSDT', 'interval': '1m', 'open_time': datetime.datetime(2017, 10, 24, 21, 8, tzinfo=datetime.timezone.utc), 'close_time': datetime.datetime(2017, 10, 24, 21, 8, 59, 999000, tzinfo=datetime.timezone.utc), 'open_price': 302.99, 'high_price': 303.01, 'low_price': 302.99, 'close_price': 302.99, 'volume': 7.46901, 'quote_volume': 2263.1622377, 'trade_count': 6}"
v1,ohlcv,binance,ETHUSDT,spot,2025-11-21 20:09:00+00:00,2026-04-28 16:50:19.668784+00:00,sample_20260428T165019668743Z,public_market_data,2025-11-21 20:09:00+00:00,2025-11-21 20:09:59.999000+00:00,1m,2732.88,2733.38,2730.66,2731.92,171.2704,467882.526102,3423,"{'exchange': 'binance', 'symbol': 'ETHUSDT', 'interval': '1m', 'open_time': datetime.datetime(2025, 11, 21, 20, 9, tzinfo=datetime.timezone.utc), 'close_time': datetime.datetime(2025, 11, 21, 20, 9, 59, 999000, tzinfo=datetime.timezone.utc), 'open_price': 2732.88, 'high_price': 2733.38, 'low_price': 2730.66, 'close_price': 2731.92, 'volume': 171.2704, 'quote_volume': 467882.526102, 'trade_count': 3423}"
